Thu Oct 05 09:45:51 +0000 2017,"@cairnsrachel @guyinoz @NSWNationals They have become sycophants for @LiberalNSW &amp; mining interests
Nationals don’t… https://t.co/XBRYtHfbK6"
Thu Oct 05 07:09:22 +0000 2017,@LiberalNSW it looks like that the Libs are getting rid of more police in NSW..will we have to pay for if we call the police? You have to go
Thu Oct 05 05:59:49 +0000 2017,RT @netz_melb: @LiberalNSW We hope to rid Victoria of the Labor disease at the next state election in 2018 #nswpol #springst
Thu Oct 05 05:55:40 +0000 2017,"@protecttheplain @GladysB Horse stud farms are protected though
The preferences of the @LiberalNSW are clear &amp; it’s not #ruralnsw"
Thu Oct 05 05:50:53 +0000 2017,"The @NSWNationals in lock step with with @LiberalNSW since 1996.
Not really the party for #regional &amp; #rural Australia then...."
Thu Oct 05 05:46:08 +0000 2017,@LucyWicksMP @LiberalNSW @CCoastCouncil You deny Liberal Party members a vote - selfish and noticed.
Thu Oct 05 04:43:02 +0000 2017,@LiberalNSW We hope to rid Victoria of the Labor disease at the next state election in 2018 #nswpol #springst
Thu Oct 05 00:05:12 +0000 2017,@JohnBarilaroMP @Barnaby_Joyce Toeing the @LiberalNSW @NSWNationals party line has been a real kick in the guts for… https://t.co/58JCoX2dwn
Wed Oct 04 21:52:14 +0000 2017,@ShootersUnion @Dustyminer Now that @NSWNationals have made their position clear &amp; confirmed they are sycophants of… https://t.co/m56TMw8K53
Wed Oct 04 19:47:57 +0000 2017,"@ZSRenn @cityofsydney @CloverMoore @LiberalNSW @cityofsydney bring back wards, which existed 140 years, 1842 to 198… https://t.co/qUzQ2USyGu"
Wed Oct 04 19:16:32 +0000 2017,@cityofsydney needs wards for #true #local #community #representation @CloverMoore #auspol #nswpol @LiberalNSW https://t.co/2KXdfT7ooD
Wed Oct 04 13:25:30 +0000 2017,@LiberalNSW Under Liberal we've been taxed to the hilt u have no clue as to what it's like for the ave working  fam… https://t.co/qiLZoEdIxb
Wed Oct 04 13:13:27 +0000 2017,@davidicke @FOLLOW_DA_BUCKS Is that the same #Fracking the @VictorianLabor and @LiberalNSW have put a moratorium on… https://t.co/J6w0QIOj1n
Wed Oct 04 08:16:42 +0000 2017,@JulieBishopMP talking international issues and Australia’s role especially in diversity. @LiberalNSW https://t.co/jb6bTaYinY
Wed Oct 04 07:37:44 +0000 2017,Now @NSWLabor have done their dirty deal with @LiberalNSW to control @iwcouncil they're using the twitter account f… https://t.co/twCEHBfivF
Wed Oct 04 07:34:15 +0000 2017,RT @CyclingFoodie: @LiberalNSW By selling everything not nailed down while bulldozing community to hand profits to developer mates &amp; toll r…
Wed Oct 04 07:34:10 +0000 2017,@CyclingFoodie @LiberalNSW Temporary jobs building ticky tacky boxes and ineffectual road networks.
Wed Oct 04 07:33:22 +0000 2017,@LiberalNSW By selling everything not nailed down while bulldozing community to hand profits to developer mates &amp; t… https://t.co/gO8G1pMwQD
Tue Oct 03 20:14:03 +0000 2017,#innerwest @iwcouncil Darcy Byrne &amp; @NSWLabor voted with Passas @LiberalNSW to deny funding to local groups fighting #westconnex #nswpol
Tue Oct 03 05:15:36 +0000 2017,"@LiberalNSW Don't be dramatic, Labor kept unemployment below NA for almost 10 years. Also comparing two different m… https://t.co/clnbvw4IQg"
Tue Oct 03 02:30:39 +0000 2017,@LiberalNSW Turnbull must go or no votes for Liberal Party.
Mon Oct 02 22:29:28 +0000 2017,@LiberalNSW How about increasing the age to smoke to 21 on the condition to be fair that taxes in Australia for tobacco is lower &amp; no bans
created,text
Tue Oct 17 02:44:50 +0000 2017,"@Olfella @TerrySerio @AYCC @LiberalNSW watching him muted...touching his nose a lot, hand on hip"
Tue Oct 17 02:43:26 +0000 2017,@TerrySerio @MinhKular @AYCC #turnbull is way too busy watching his arse than to worry about our future @liberalNSW
Tue Oct 17 02:29:56 +0000 2017,@themarkjacka @TurnbullMalcolm But #fizza shirt fronted @TonyAbbottMHR What a loser #turnbull is for @liberalnsw
Mon Oct 16 19:32:59 +0000 2017,@BurgeNews @NSWNationals @austinevansnats @StephCookeNats @WINNews_Riv I give them 1 month before they become just… https://t.co/iubNmoie8N
Mon Oct 16 14:10:45 +0000 2017,@Ausshot3Dave @LiberalNSW NSW libs have shut down women's shelters &amp; done all sorts of stupid shit &amp; need to be called on it
Mon Oct 16 13:57:03 +0000 2017,@mavisgrizzltits @LiberalNSW I hope you are referring to the Minister for Health
Mon Oct 16 12:36:13 +0000 2017,RT @KeithDrain: The @sffAustralia has the toughest policy on violent gun crime in Australia but @NSWNationals @LiberalNSW won’t support it…
Mon Oct 16 12:34:23 +0000 2017,The @sffAustralia has the toughest policy on violent gun crime in Australia but @NSWNationals @LiberalNSW won’t support it they’d rather lie
Mon Oct 16 08:27:39 +0000 2017,@cmroy4 @LiberalNSW Remember to breathe.
Mon Oct 16 08:19:49 +0000 2017,"RT @cmroy4: @GladysB will you be responding on behalf of Rob Stokes @LiberalNSW, to the families, in relation to school #childabuse reports…"
Mon Oct 16 08:14:58 +0000 2017,"@GladysB will you be responding on behalf of Rob Stokes @LiberalNSW, to the families, in relation to school #childabuse reports?@jihaddibmp"
Mon Oct 16 07:33:46 +0000 2017,Awaiting call from Rob Stokes @LiberalNSW
Sun Oct 15 21:22:54 +0000 2017,"Get this man to Canberra!

@DamienTudehope @LiberalAus @LiberalNSW @corybernardi @TonyAbbottMHR 

https://t.co/FZMXpu4LAV"
Sun Oct 15 11:50:38 +0000 2017,@randlight I am just lovin how @liberalNSW keep ignoring the numbers hoping #turnbull will turn it around hahahaaaa #auspol
