rider,place,grade,usual_grade,club,day,month
14389,,A,A,SutherlandShireCC,22,1
13826,,A,A,ParramattaCC,22,1
15145,,A,A,RandwickBotanyCC,22,1
15315,,A,A,EasternSuburbsCC,22,1
16048,,A,A,ParklifeCC,22,1
14702,,A,A,RandwickBotanyCC,22,1
15843,1,A,A,RandwickBotanyCC,22,1
15069,2,A,A,Bicisport,22,1
15244,3,A,A,ParramattaCC,22,1
16001,4,A,A,NowraVeloClub,22,1
13945,5,A,A,WaratahMastersCC,22,1
15338,,B,B,SouthernCrossCC,22,1
15360,,B,B,WaratahMastersCC,22,1
12704,,B,B,EasternSuburbsCC,22,1
15651,,B,B,WaratahMastersCC,22,1
12417,,B,B,WaratahMastersCC,22,1
15833,,B,B,WaratahMastersCC,22,1
13759,,B,B,ADFCycling,22,1
14148,,B,C,WaratahMastersCC,22,1
16050,,B,B,SydneyCC,22,1
15661,,B,B,NorthernSydneyCC,22,1
14769,,B,B,EasternSuburbsCC,22,1
15238,,B,B,ADFCycling,22,1
15284,,B,B,SydneyCC,22,1
15813,,B,B,SydneyCC,22,1
15877,,B,B,WaratahMastersCC,22,1
15185,,B,B,WaratahMastersCC,22,1
14864,1,B,B,ManlyWarringahCC,22,1
15902,2,B,B,SydneyUniVeloClub,22,1
15460,4,B,B,SydneyUniVeloClub,22,1
13793,5,B,B,PenrithCC,22,1
15859,,C,C,WaratahMastersCC,22,1
12502,,C,C,WaratahMastersCC,22,1
14338,,C,C,WaratahMastersCC,22,1
14531,,C,C,WaratahMastersCC,22,1
12535,,C,C,LidcombeAuburnCC,22,1
15598,,C,D,SouthernCrossCC,22,1
14387,,C,B,WaratahMastersCC,22,1
12730,,C,C,WaratahMastersCC,22,1
12412,,C,C,WaratahMastersCC,22,1
3692,,C,C,WaratahMastersCC,22,1
12467,,C,C,ManlyWarringahCC,22,1
12374,,C,C,WaratahMastersCC,22,1
14330,,C,C,CaravelloCC,22,1
15703,,C,C,WaratahMastersCC,22,1
15577,,C,C,SouthernCrossCC,22,1
14900,,C,B,RandwickBotanyCC,22,1
