Thu Oct 05 09:01:16 +0000 2017,@Luke_FoleyNSW @PCKJ3627 @NSWLabor Liberals &amp; labor focus on Sydney only not the rest of NSW
Thu Oct 05 03:25:40 +0000 2017,@Luke_FoleyNSW @hugh_mcdermott @NSWLabor Hey Luke.  My invitation is still open.
Thu Oct 05 02:52:09 +0000 2017,@Luke_FoleyNSW @NSWLabor The ALP neglects greyhounds
Thu Oct 05 01:44:07 +0000 2017,"@qwertyLGBT @TonyHWindsor @SenatorWong @NSWLabor @MehreenFaruqi Fred Nile has balance of power NSW Upper House, his… https://t.co/bKDtQcxYin"
Thu Oct 05 01:42:02 +0000 2017,RT @qwertyLGBT: @TonyHWindsor Agree w @SenatorWong but her colleagues in @NSWLabor will never deliver it. @MehreenFaruqi doing all the heav…
Wed Oct 04 22:55:22 +0000 2017,Candidate for #Murray Helen Dalton says no preference deal between @sffAustralia and @NSWLabor #nswpol
Wed Oct 04 16:19:04 +0000 2017,@TonyHWindsor Agree w @SenatorWong but her colleagues in @NSWLabor will never deliver it. @MehreenFaruqi doing all the heavy lifting #auspol
Wed Oct 04 11:22:18 +0000 2017,"@NSWLabor new, greenfield subdivisions less than 100 lots get copper in the ground. Unbelievable"
Wed Oct 04 07:37:44 +0000 2017,Now @NSWLabor have done their dirty deal with @LiberalNSW to control @iwcouncil they're using the twitter account f… https://t.co/twCEHBfivF
Wed Oct 04 07:18:44 +0000 2017,#InnerWest Mayor Darcy of @NSWLabor makes Facebook page look like everybody supports him by banning comments from known opponents. #nswpol
Wed Oct 04 05:48:50 +0000 2017,@soli_aus ALP voters essential reading&amp;consider being  scammed @AustralianLabor @LaborTerritory @alpsa @NSWLabor… https://t.co/N3x314x2mQ
Wed Oct 04 02:23:07 +0000 2017,This is starting to remind me of all the Labor rats fleeing the sinking @NSWLabor ship in 2011. https://t.co/mhd1pNRXVa
Tue Oct 03 22:26:14 +0000 2017,RT @judyfree10: @Cat_Santleben @JustinRaethel @elliemail @AnnastaciaMP @QLDLabor @NSWLabor Applies to any minority government .. Political…
Tue Oct 03 22:11:41 +0000 2017,@Cat_Santleben @JustinRaethel @elliemail @AnnastaciaMP @QLDLabor @NSWLabor Applies to any minority government .. Po… https://t.co/AeyYhMwQYw
Tue Oct 03 20:51:42 +0000 2017,just the start of a long list of betrayal by Mayor Byrne &amp; @NSWLabor in @iwcouncil ALP/LNP coalition https://t.co/Ta6sqkCzoO #nswpol
Tue Oct 03 20:26:26 +0000 2017,@NSWLabor Let's start with a 'no clue' test for any person wanting to nominate for the senate.
Tue Oct 03 20:14:03 +0000 2017,#innerwest @iwcouncil Darcy Byrne &amp; @NSWLabor voted with Passas @LiberalNSW to deny funding to local groups fighting #westconnex #nswpol
Tue Oct 03 12:56:23 +0000 2017,RT @ianhunt43: @NSWLabor Pauline does not want the under 20's  voting because they are brilliant &amp; she is a dumb dumb.
Tue Oct 03 12:55:49 +0000 2017,@NSWLabor What about banning no clue redheads 😖
Tue Oct 03 12:04:24 +0000 2017,@peter124u @AMEquality @NSWLabor There'll be plenty of others to choose from.
Tue Oct 03 12:03:55 +0000 2017,RT @peter124u: @TedMulder1 @AMEquality Fortunately @NSWLabor have too a high a standard - and would never pick Mrs Bowman - a proven fibber…
Tue Oct 03 12:00:51 +0000 2017,@TedMulder1 @AMEquality Fortunately @NSWLabor have too a high a standard - and would never pick Mrs Bowman - a prov… https://t.co/PdcXmM3IiM
Tue Oct 03 07:59:46 +0000 2017,@elliemail @QLDLabor @billshortenmp @AnnastaciaMP The @NSWLabor Right Bowen Gerrymander KNEW Rudd would NEVER win… https://t.co/NtwPmwxRPn
Tue Oct 03 07:11:49 +0000 2017,@9NewsQueensland No @AnnastaciaMP will prefer defeat to exposing @NSWLabor Right Bowen Gerrymander to wipe Fed &amp;… https://t.co/rbYdfQfNT7
Tue Oct 03 06:13:33 +0000 2017,@market_forces @medibank Hope that clarifies @AnnastaciaMP. :) @QLDLabor @NSWLabor #Auspol
Tue Oct 03 06:00:25 +0000 2017,"@market_forces @medibank Fed &amp; @QLDLabor @AnnastaciaMP continue to be embroiled in @NSWLabor Right ""Admin Duress"" o… https://t.co/17dTJOKWbT"
Tue Oct 03 04:37:58 +0000 2017,Time to renew my Labor membership for an other year @NSWLabor ❤️my party.
Tue Oct 03 01:35:27 +0000 2017,"@NSWLabor Yeah, but with @QLDLabor supporting Adani, she is spot on in QLD"
Tue Oct 03 01:21:29 +0000 2017,@NSWLabor Pauline does not want the under 20's  voting because they are brilliant &amp; she is a dumb dumb.
Tue Oct 03 01:15:11 +0000 2017,@NSWLabor I want to ban the deluded maggot parasite
Tue Oct 03 01:02:11 +0000 2017,@NSWNationals @LiberalAus say they had good reasons to oppose @NSWLabor say they did not and householders are now p… https://t.co/qqgwtdHKwV
